Id,SalePrice
1461,172500
1462,172500
1463,172500
1464,172500
1465,176485
1466,172500
1467,176485
1468,176485
1469,172500
1470,215200
1471,176485
1472,239000
1473,239000
1474,239000
1475,130000
1476,172500
1477,172500
1478,172500
1479,172500
1480,172500
1481,172500
1482,176485
1483,172500
1484,176485
1485,172500
1486,176485
1487,172500
1488,176485
1489,176485
1490,172500
1491,172500
1492,172500
1493,172500
1494,172500
1495,172500
1496,176485
1497,176485
1498,130000
1499,130000
1500,130000
1501,176485
1502,130000
1503,172500
1504,176485
1505,176485
1506,172500
1507,172500
1508,172500
1509,172500
1510,172500
1511,172500
1512,172500
1513,172500
1514,141000
1515,172500
1516,172500
1517,172500
1518,176485
1519,176485
1520,176485
1521,172500
1522,172500
1523,176485
1524,172500
1525,172500
1526,172500
1527,176485
1528,176485
1529,176485
1530,172500
1531,176485
1532,130000
1533,176485
1534,176485
1535,172500
1536,176485
1537,215200
1538,172500
1539,172500
1540,172500
1541,172500
1542,176485
1543,176485
1544,176485
1545,130000
1546,176485
1547,176485
1548,176485
1549,176485
1550,176485
1551,176485
1552,176485
1553,141000
1554,130000
1555,172500
1556,172500
1557,141000
1558,130000
1559,130000
1560,176485
1561,172500
1562,176485
1563,215200
1564,176485
1565,172500
1566,172500
1567,215200
1568,172500
1569,172500
1570,172500
1571,172500
1572,172500
1573,172500
1574,172500
1575,172500
1576,172500
1577,176485
1578,172500
1579,172500
1580,172500
1581,141000
1582,176485
1583,172500
1584,172500
1585,176485
1586,215200
1587,215200
1588,172500
1589,172500
1590,176485
1591,141000
1592,176485
1593,176485
1594,172500
1595,172500
1596,172500
1597,172500
1598,172500
1599,176485
1600,176485
1601,215200
1602,215200
1603,176485
1604,176485
1605,172500
1606,172500
1607,172500
1608,172500
1609,176485
1610,215200
1611,172500
1612,172500
1613,172500
1614,130000
1615,135900
1616,135900
1617,239000
1618,176485
1619,141000
1620,176485
1621,215200
1622,172500
1623,172500
1624,172500
1625,172500
1626,172500
1627,172500
1628,172500
1629,215200
1630,235000
1631,176485
1632,176485
1633,215200
1634,176485
1635,215200
1636,176485
1637,172500
1638,172500
1639,172500
1640,172500
1641,172500
1642,176485
1643,176485
1644,176485
1645,172500
1646,172500
1647,172500
1648,176485
1649,176485
1650,176485
1651,176485
1652,239000
1653,239000
1654,239000
1655,239000
1656,239000
1657,239000
1658,176485
1659,130000
1660,172500
1661,172500
1662,172500
1663,172500
1664,235000
1665,172500
1666,172500
1667,172500
1668,172500
1669,172500
1670,172500
1671,172500
1672,172500
1673,172500
1674,172500
1675,176485
1676,176485
1677,172500
1678,172500
1679,172500
1680,176485
1681,176485
1682,172500
1683,176485
1684,172500
1685,176485
1686,176485
1687,215200
1688,176485
1689,172500
1690,215200
1691,215200
1692,172500
1693,215200
1694,215200
1695,176485
1696,172500
1697,176485
1698,172500
1699,172500
1700,172500
1701,172500
1702,172500
1703,172500
1704,172500
1705,176485
1706,235000
1707,176485
1708,176485
1709,172500
1710,176485
1711,172500
1712,176485
1713,172500
1714,176485
1715,176485
1716,176485
1717,176485
1718,141000
1719,172500
1720,172500
1721,172500
1722,141000
1723,172500
1724,176485
1725,172500
1726,176485
1727,176485
1728,176485
1729,172500
1730,215200
1731,176485
1732,215200
1733,215200
1734,176485
1735,176485
1736,176485
1737,172500
1738,172500
1739,239000
1740,176485
1741,176485
1742,176485
1743,176485
1744,172500
1745,172500
1746,172500
1747,172500
1748,172500
1749,172500
1750,176485
1751,172500
1752,176485
1753,176485
1754,172500
1755,172500
1756,176485
1757,176485
1758,172500
1759,172500
1760,172500
1761,172500
1762,172500
1763,172500
1764,176485
1765,172500
1766,172500
1767,172500
1768,176485
1769,172500
1770,215200
1771,176485
1772,176485
1773,172500
1774,172500
1775,176485
1776,172500
1777,215200
1778,176485
1779,101800
1780,172500
1781,176485
1782,176485
1783,172500
1784,215200
1785,172500
1786,172500
1787,176485
1788,141000
1789,172500
1790,141000
1791,172500
1792,172500
1793,172500
1794,176485
1795,172500
1796,101800
1797,215200
1798,176485
1799,176485
1800,176485
1801,172500
1802,176485
1803,176485
1804,215200
1805,176485
1806,176485
1807,172500
1808,172500
1809,141000
1810,176485
1811,172500
1812,141000
1813,176485
1814,176485
1815,130000
1816,176485
1817,172500
1818,176485
1819,130000
1820,130000
1821,176485
1822,172500
1823,141000
1824,176485
1825,130000
1826,176485
1827,176485
1828,176485
1829,176485
1830,176485
1831,172500
1832,135900
1833,176485
1834,176485
